month,day,hour,minute,room_height,room_length,room_width,person_age,person_height,person_weight,person_cloth,person_activity,indoor_operative_temperature,indoor_mean_radiant_temp,indoor_asymmetry_temp,indoor_humidity,indoor_air_velocity,ashrae_predicted_mean_vote,ashrae_predicted_percentage_of_dissatisfied,label_thermal_sensation_vote,label_thermal_comfort_vote,label_thermal_acceptability_vote,person_gender_Female,person_gender_Male,season_Summer Season,season_Transition Season,season_Winter Season,climate_zone_Cold zone,climate_zone_Hot summer and cold winter zone,climate_zone_Severe cold zone,building_type _Educational,building_type _Office,building_type _Residential,building_function_Bedroom,building_function_Classroom,building_function_Living room,building_function_Office,building_operation_mode_Air conditioning heating,building_operation_mode_Ceiling capillary heating,building_operation_mode_Cold radiation ceiling cooling,building_operation_mode_Convection cooling,building_operation_mode_Convection heating,building_operation_mode_Naturally Ventilated,building_operation_mode_Others,building_operation_mode_Radiant floor cooling,building_operation_mode_Radiant floor heating,building_operation_mode_Radiator heating
0.09090909090909091,0.03333333333333333,0.6666666666666666,0.4915254237288136,3.6,5.9,3.8,45.5,174,77,2.06,1,18.1,20.7,1.72,33,0,-0.05,5.05,2,1,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.03333333333333333,0.6666666666666666,0.5423728813559322,3.6,5.9,3.8,45.5,163,62,1.62,1,18.1,20.7,1.72,33,0,-0.52,10.66,2,1,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.03333333333333333,0.8333333333333334,0.8813559322033898,3.8,6.1,3.4,60.0,172,81,1.5,1,20.8,21.3,2.2,30,0,-0.06,5.08,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.03333333333333333,0.8333333333333334,0.9152542372881356,3.8,6.1,3.4,60.0,164,67,1.45,1,20.8,21.3,2.2,30,0,-0.12,5.31,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.03333333333333333,0.8333333333333334,0.9830508474576272,3.8,6.1,3.4,35.5,176,75,1.62,0.9,20.8,21.3,2.2,30,0,-0.35,7.62,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.03333333333333333,0.875,0.0,3.8,6.1,3.4,24.0,177,73,1.48,1,20.7,21.2,2.2,30,0,-0.1,5.23,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.03333333333333333,0.875,0.1016949152542373,3.8,6.1,3.4,24.0,170,62,1.2,1.1,20.7,21.2,2.2,30,0,-0.22,6.05,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.06666666666666667,0.4166666666666667,0.423728813559322,3.8,6.1,3.4,45.5,176,82,1.29,1,19.9,20.8,1.12,48,0,-0.44,9.13,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.06666666666666667,0.4166666666666667,0.4576271186440678,3.8,6.1,3.4,45.5,160,60,1.63,1,19.9,20.8,1.12,48,0,-0.01,5,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.06666666666666667,0.4166666666666667,0.4915254237288136,3.8,6.1,3.4,24.0,155,42,1.37,1,19.9,20.8,1.12,48,0,-0.33,7.27,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.36666666666666664,0.5416666666666666,1.0,3.9,6.1,3.4,24.0,161,60,0.76,1,14.5,16.5,1.22,42,0,-3.32,99.86,2,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.36666666666666664,0.5833333333333334,0.01694915254237288,3.9,6.1,3.4,45.5,173,86,1.99,1,14.5,16.5,1.22,42,0,-0.7,15.31,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09090909090909091,0.4666666666666667,0.375,0.7796610169491526,3.0,8.8,7.2,35.5,170,66,1.29,1,21.7,22.5,-0.07,31,0,-0.11,5.26,3,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.375,0.847457627118644,3.0,8.8,7.2,35.5,173,64,1.47,1,21.7,22.4,-0.61,31,0,0.1,5.21,4,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.375,0.9661016949152542,3.0,8.8,7.2,35.5,163,66,0.88,0.9,22.6,23.4,0.92,26,0,-1.05,28.6,3,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.0,3.0,8.8,7.2,35.5,181,87,0.98,1.2,22.6,23.4,0.86,26,0,0.07,5.1,2,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.1016949152542373,3.0,8.8,7.2,35.5,170,75,1.56,1,22.6,23.4,0.55,26,0,0.33,7.33,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.3220338983050847,3.0,9.0,6.6,35.5,173,75,1.45,1,23,23.8,2.58,27,0,0.34,7.46,3,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.4666666666666667,0.4166666666666667,0.423728813559322,3.0,9.0,6.6,35.5,175,80,1.21,1,22.8,23.5,2.53,28,0,0.02,5.01,2,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
